title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
Evolution Snowboarding,PS2,Sony,Sports,Konami,Konami Computer Entertainment Osaka,2002-11-26,2002,0.02,0.01,0.0,0.01,0.0
Viva Pinata,PC,Outros,Simulation,Microsoft Game Studios,Rare Ltd.,2007-11-06,2007,0.02,0.0,0.0,0.02,0.0
Cats Together,3DS,Nintendo,Simulation,Bandai Namco Games,Bandai Namco Games,2018-11-21,2018,0.02,0.0,0.02,0.0,0.0
Livly Garden,DS,Nintendo,Simulation,Marvelous Interactive,Marvelous Interactive,2010-01-28,2010,0.02,0.0,0.02,0.0,0.0
Cities in Motion Collection,PC,Outros,Simulation,Paradox Interactive,Paradox Interactive,2011-11-22,2011,0.02,0.0,0.0,0.02,0.0
Gal Gun,PS3,Sony,Simulation,Alchemist,Alchemist,2012-02-23,2012,0.02,0.0,0.02,0.0,0.0
Dance Dance Revolution Extra Mix,PS,Sony,Simulation,Konami,KCET,2001-06-07,2001,0.02,0.0,0.02,0.0,0.0
8 to Glory: The Official Game of the PBR,XOne,Microsoft,Sports,THQ Nordic,Three Gates,2018-10-30,2018,0.02,0.02,0.0,0.0,0.0
FIFA Soccer 09,PC,Outros,Sports,Electronic Arts,EA Canada,2008-10-14,2008,0.02,0.0,0.0,0.02,0.0
Wakeboarding Unleashed Featuring Shaun Murray,GBA,Nintendo,Sports,Aspyr,Small Rockets,2003-11-10,2003,0.02,0.01,0.0,0.01,0.0
Disney Sports Football,GBA,Nintendo,Sports,Konami,Konami,2002-11-05,2002,0.02,0.01,0.0,0.01,0.0
Polar Bowler,DS,Nintendo,Sports,Mumbo Jumbo,Wild Games,2008-10-07,2008,0.02,0.02,0.0,0.0,0.0
RedCard 20-03,GC,Nintendo,Sports,Midway Games,Point of View,2002-06-24,2002,0.02,0.02,0.0,0.0,0.0
Rugby League Team Manager 2015,PC,Outros,Sports,Alternative Software,Alternative Software,2015-06-19,2015,0.02,0.0,0.0,0.02,0.0
Rugby World Cup 2015,XOne,Microsoft,Sports,Big Ben Interactive,HB Studios,2015-09-04,2015,0.02,0.0,0.0,0.02,0.0
Combat Flight Simulator 3: Battle for Europe,PC,Outros,Simulation,Microsoft Game Studios,Microsoft Game Studios,2002-10-25,2002,0.02,0.01,0.0,0.01,0.0
